date,code,open,close,high,low,volume,amount,change_pct,amplitude,turnover_rate,volume_ratio_5,volume_ratio_10,turnover_ratio_5,ma5_dev,ma10_dev,ma20_dev,return_3d,return_5d,return_10d,volatility_10d,price_position_10d,ma_bull_aligned,next_date,next_open_return,next_close_return,next_touch_limit_up,next_close_limit_up,score
2026-04-16,002059,5.13,5.28,5.36,5.09,433292,227459440.0,3.13,5.27,4.41,3.2462165482933263,3.096393738780457,3.24264705882353,2.683780630105015,3.5497156305157818,4.730734900327294,3.7328094302554016,3.937007874015741,3.529411764705892,1.8630804710010718,81.81818181818183,1,2026-04-17,-2.862595419847336,-2.2900763358778664,0,0,95.0
2026-04-16,002798,6.7,7.11,7.2,6.61,555764,388475903.51,6.6,8.85,11.59,6.829144814772945,7.799353613714729,6.817647058823529,10.955056179775301,14.844128573736072,15.619156028945458,16.557377049180346,17.71523178807948,15.798045602605871,4.266671877463189,93.83561643835617,1,2026-04-17,-1.1173184357541888,-2.0949720670391137,0,0,95.0
2026-04-16,000409,10.62,11.18,11.23,10.58,178302,194870783.13,5.57,6.14,3.02,2.8737158679556067,3.1500728766397246,2.870722433460076,4.058078927773634,6.102306159248361,7.603464870067356,4.878048780487809,4.681647940074907,7.499999999999996,2.5372627959307534,96.03174603174598,1,2026-04-17,-1.6319129646418795,-1.450589301903904,0,0,94.0
2026-04-17,001268,31.9,33.0,33.4,30.7,54389,173591470.68,5.3,8.62,8.07,3.9410605335999884,4.6711899342981065,3.944281524926686,9.612701787019184,10.79774375503626,11.283469346462539,14.583333333333325,11.940298507462677,9.780439121756501,4.170292571159028,91.91919191919195,1,2026-04-20,3.8579301898346685,3.521126760563398,0,0,105.0
2026-04-17,001298,21.18,21.98,22.33,20.83,257137,557964746.87,4.82,7.15,10.77,4.849555285650701,4.714139834524684,3.3426443202979517,4.796414608562993,8.265195547236726,9.801178938954935,4.816404387219841,8.596837944664038,16.542948038176043,2.6175869931923788,91.11675126903557,1,2026-04-20,-0.45662100456620447,-0.1369863013698569,0,0,105.0
2026-04-17,002669,13.37,14.04,14.15,13.32,169900,235567684.85,4.93,6.2,5.61,3.13794007808835,2.8357501468781714,3.134078212290503,4.324565314311202,6.971428571428562,9.884949518666343,5.011219147344792,6.768060836501899,12.680577849117158,2.0394417361025816,94.41624365482227,1,2026-04-20,-0.07189072609633529,0.0,0,0,105.0
2026-04-17,002687,5.17,5.08,5.39,5.05,554679,287979609.19,3.67,6.94,13.42,5.930150509860439,5.116997987994387,5.932802829354554,4.354971240755945,5.394190871369298,5.525550477773167,6.054279749478075,3.885480572597144,5.613305613305619,3.2560714263243216,66.6666666666667,1,2026-04-20,-1.538461538461544,-1.538461538461544,0,0,105.0
2026-04-17,603038,15.83,16.62,16.86,15.83,142343,235107336.0,5.06,6.51,5.3,4.2525737776423425,4.830180355961248,4.253611556982343,6.867283950617309,8.855121823421541,10.922014215637233,9.63060686015831,6.949806949806958,13.447098976109228,2.6593445314741753,90.66147859922185,1,2026-04-20,-4.99098015634395,-4.690318701142515,0,0,105.0
2026-04-17,000030,5.59,5.5,5.66,5.37,681551,372646287.97,5.77,5.58,4.08,4.397636616570267,2.7310313710514706,4.406047516198704,5.162523900573612,7.948969578017651,8.513366873828554,5.973025048169545,7.421875,7.421875,3.387776896921519,81.60919540229884,1,2026-04-20,3.2727272727272716,3.0909090909090997,0,0,102.0
2026-04-17,000819,14.83,15.73,16.07,14.72,161973,252473813.11,6.36,9.13,4.43,4.307563427477262,3.9519393349387717,4.309338521400777,5.598818474758316,6.247889226612613,7.262188885100573,7.445355191256819,6.0687795010114565,7.96156485929993,2.8881371511759935,82.56410256410258,1,2026-04-20,-0.8939974457215838,-0.8301404853129024,0,0,102.0
2026-04-17,002708,14.02,14.72,14.98,13.6,551319,802975296.34,6.82,10.01,10.67,2.5294271478514605,2.7885165431274515,2.5296348980559507,8.108108108108114,12.667432070417139,18.633139909735675,11.010558069381604,9.605361131794488,26.787252368647717,4.31379021443575,93.10344827586208,1,2026-04-20,-7.098552722260509,-5.651274982770504,0,0,102.0
2026-04-17,002967,21.23,22.15,22.75,21.12,194078,428361660.14,3.7,7.63,3.55,3.29613929253198,3.6442056008081627,3.2992565055762078,4.500849216833358,6.726414185217311,7.806872383919017,6.541606541606537,7.472100921882574,10.144206862257587,1.9146641529941757,79.93311036789292,1,2026-04-20,-0.0888888888888828,0.31111111111110645,0,0,102.0
2026-04-17,600288,15.06,15.84,16.22,14.93,192738,302252025.0,5.18,8.57,4.41,4.322332657564721,4.326660171595588,4.323529411764706,4.416611733684883,6.637942641712669,8.974579477830114,4.900662251655641,6.738544474393526,12.5,2.048701804404537,83.03571428571432,1,2026-04-20,0.512163892445594,0.512163892445594,0,0,102.0
