代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
603355,莱克电气,32.04,2.59,0.0,0.0,0.0,3592460,11387.7,3.6,0.61,38,36,新浪,2026-04-30 20:18:22,78.33,48.082499999999996,0.0,
000338,潍柴动力,31.2,3.48,0.0,0.0,0.0,169633923,536603.6,3.24,0.79,38,36,新浪,2026-04-30 20:18:22,77.7,47.925,0.0,
002638,勤上股份,4.68,5.41,0.0,0.0,0.0,66473753,30506.5,1.88,0.92,38,36,新浪,2026-04-30 20:18:22,77.07,47.7675,0.0,
002843,泰嘉股份,26.58,2.39,0.0,0.0,0.0,22214770,58836.9,0.63,1.01,40,38,新浪,2026-04-30 20:18:22,70.14,47.535,0.0,
000679,大连友谊,7.24,1.97,0.0,0.0,0.0,5528360,3999.8,2.08,1.42,40,38,新浪,2026-04-30 20:18:22,69.72,47.43,0.0,
603903,中持股份,12.24,3.55,0.0,0.0,0.0,13273364,16374.5,-1.57,0.7,40,38,新浪,2026-04-30 20:18:22,69.09,47.2725,0.0,
603908,牧高笛,24.18,1.64,0.0,0.0,0.0,2248746,5435.7,2.25,1.46,40,38,新浪,2026-04-30 20:18:22,68.88000000000001,47.22,0.0,
601118,海南橡胶,7.19,1.7,0.0,0.0,0.0,48804212,34955.4,1.53,1.28,40,38,新浪,2026-04-30 20:18:22,68.46000000000001,47.115,0.0,
002394,联发股份,14.11,5.14,0.0,0.0,0.0,10140600,14090.2,-8.11,2.8,47,44,新浪,2026-04-30 20:18:22,47.46,47.115,0.0,
002208,合肥城建,13.74,5.86,0.0,0.0,0.0,62280663,84010.6,-0.43,0.64,38,36,新浪,2026-04-30 20:18:22,74.33999999999999,47.084999999999994,0.0,
002348,高乐股份,11.13,5.1,0.0,0.0,0.0,45162764,49554.9,0.4,0.73,38,36,新浪,2026-04-30 20:18:22,74.13,47.0325,0.0,
002725,跃岭股份,16.9,5.17,0.0,0.0,0.0,16892260,28377.5,0.34,0.76,38,36,新浪,2026-04-30 20:18:22,73.5,46.875,0.0,
002403,爱仕达,11.04,3.76,0.0,0.0,0.0,11312400,12526.0,-0.19,1.48,40,38,新浪,2026-04-30 20:18:22,66.36,46.59,0.0,
002184,海得控制,11.69,4.1,0.0,0.0,0.0,10886412,12782.1,-0.03,1.06,39,37,新浪,2026-04-30 20:18:22,69.3,46.575,0.0,
002277,友阿股份,6.17,5.65,0.0,0.0,0.0,48205289,29800.9,-0.65,0.81,38,36,新浪,2026-04-30 20:18:22,71.61,46.4025,0.0,
001289,龙源电力,16.8,3.83,0.0,0.0,0.0,14380803,23768.5,0.95,0.89,38,36,新浪,2026-04-30 20:18:22,71.19000000000001,46.2975,0.0,
002111,威海广泰,11.02,4.55,0.0,0.0,0.0,53306288,58745.2,-0.4,1.19,39,37,新浪,2026-04-30 20:18:22,68.04,46.260000000000005,0.0,
603823,百合花,16.7,4.25,0.0,0.0,0.0,9011959,14902.8,-0.49,0.59,38,36,新浪,2026-04-30 20:18:22,70.35000000000001,46.087500000000006,0.0,
603386,骏亚科技,13.37,2.29,0.0,0.0,0.0,9628720,12810.7,0.54,1.08,39,37,新浪,2026-04-30 20:18:22,66.78,45.945,0.0,
600152,维科技术,14.85,2.41,0.0,0.0,0.0,158723240,236075.1,2.75,1.33,38,36,新浪,2026-04-30 20:18:22,68.67,45.667500000000004,0.0,
002365,永安药业,13.7,3.63,0.0,0.0,0.0,17527563,24278.9,-0.47,1.19,39,37,新浪,2026-04-30 20:18:22,65.31,45.5775,0.0,
603183,建研院,4.9,1.66,0.0,0.0,0.0,16023510,7835.3,2.36,1.04,38,36,新浪,2026-04-30 20:18:22,68.25,45.5625,0.0,
002790,瑞尔特,7.57,2.58,0.0,0.0,0.0,6140424,4637.1,0.62,1.29,39,37,新浪,2026-04-30 20:18:22,64.89,45.4725,0.0,
603505,金石资源,18.34,3.62,0.0,0.0,0.0,26227368,48423.2,0.01,0.89,38,36,新浪,2026-04-30 20:18:22,67.83,45.457499999999996,0.0,
600683,京投发展,14.5,5.76,0.0,0.0,0.0,42895836,63404.7,3.24,0.73,35,33,新浪,2026-04-30 20:18:22,76.64999999999999,45.412499999999994,0.0,
002293,罗莱生活,11.26,2.18,0.0,0.0,0.0,12694507,14178.8,1.22,0.98,38,36,新浪,2026-04-30 20:18:22,67.62,45.405,0.0,
600885,宏发股份,31.14,7.38,0.0,0.0,0.0,68023221,212857.8,0.1,0.83,36,34,新浪,2026-04-30 20:18:22,73.28999999999999,45.3225,0.0,
002633,申科股份,19.73,3.68,0.0,0.0,0.0,5440368,10797.7,-0.65,0.79,38,36,新浪,2026-04-30 20:18:22,66.99,45.2475,0.0,
002573,清新环境,3.74,3.31,0.0,0.0,0.0,21907223,8204.6,-2.07,1.73,41,39,新浪,2026-04-30 20:18:22,56.28,44.82,0.0,
002021,中捷资源,3.18,6.0,0.0,0.0,0.0,71687526,22601.2,2.56,0.92,35,33,新浪,2026-04-30 20:18:22,73.71,44.677499999999995,0.0,
002836,新宏泽,13.45,1.89,0.0,0.0,0.0,4227720,5674.5,3.01,1.67,38,36,新浪,2026-04-30 20:18:22,64.47,44.6175,0.0,
600663,陆家嘴,8.23,3.39,0.0,0.0,0.0,26747874,21880.8,1.71,1.2,37,35,新浪,2026-04-30 20:18:22,67.41,44.6025,0.0,
002759,天际股份,38.09,5.78,0.0,0.0,0.0,99186830,367038.4,2.35,0.98,35,33,新浪,2026-04-30 20:18:22,72.66,44.415,0.0,
603519,立霸股份,14.44,3.66,0.0,0.0,0.0,7660348,10932.8,-0.98,0.94,38,36,新浪,2026-04-30 20:18:22,63.0,44.25,0.0,
002493,荣盛石化,13.95,2.27,0.0,0.0,0.0,83243392,115880.6,2.2,1.14,37,35,新浪,2026-04-30 20:18:22,65.94,44.235,0.0,
603900,莱绅通灵,7.98,3.23,0.0,0.0,0.0,22760680,18408.2,1.38,1.16,37,35,新浪,2026-04-30 20:18:22,65.73,44.182500000000005,0.0,
600692,亚通股份,7.85,2.61,0.0,0.0,0.0,13520089,10553.2,0.65,1.26,38,36,新浪,2026-04-30 20:18:22,62.16,44.04,0.0,
600081,东风科技,11.29,3.39,0.0,0.0,0.0,5746641,6497.9,0.69,1.01,37,35,新浪,2026-04-30 20:18:22,65.1,44.025,0.0,
603815,交建股份,7.28,3.56,0.0,0.0,0.0,32484300,23606.0,-2.24,0.58,38,36,新浪,2026-04-30 20:18:22,61.949999999999996,43.9875,0.0,
003003,天元股份,13.86,2.06,0.0,0.0,0.0,5609700,7758.1,1.84,1.07,37,35,新浪,2026-04-30 20:18:22,64.67999999999999,43.92,0.0,
