代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct
002580,圣阳股份,28.82,4.04,1.24,35.19,13.18,1591833,445348.9,2.99,1.18,52,49
600906,财达证券,6.03,-3.52,3.4,2.3,4.32,488167,29441.7,-3.77,3.34,51,48
603399,永杉锂业,14.57,1.53,1.02,12.79,4.6,655421,94124.3,5.17,0.92,51,48
002351,漫步者,11.17,2.38,1.55,1.6,4.4,83603,9247.6,-0.25,1.46,51,48
601666,平煤股份,8.3,2.85,1.34,1.42,4.09,350712,28992.5,3.18,1.4,51,48
001379,腾达科技,21.2,2.51,1.27,3.56,4.21,23931,5014.0,-0.84,1.22,51,48
603383,顶点软件,33.53,3.17,0.98,3.39,3.48,69710,23100.5,1.23,0.91,50,47
002474,榕基软件,7.28,3.26,1.08,3.91,4.82,206518,14802.6,0.58,1.03,50,47
002491,通鼎互联,16.82,7.48,1.04,17.01,9.9,2000595,322928.9,1.0,0.9,50,47
600206,有研新材,26.7,0.3,1.12,13.09,5.41,1108219,298988.1,1.95,1.14,50,47
603978,深圳新星,26.26,3.02,1.15,4.9,3.61,103538,26858.5,3.88,1.06,50,47
605056,咸亨国际,26.62,4.93,1.03,3.62,10.45,146084,37825.9,0.09,1.05,50,47
000990,诚志股份,12.53,3.64,0.95,8.09,8.85,983441,122569.1,4.75,0.89,50,47
600605,汇通能源,32.88,3.33,0.97,4.03,7.39,83148,27470.6,5.41,0.96,50,47
603023,威帝股份,4.47,1.82,1.46,2.69,4.78,149980,6561.3,1.68,1.43,49,46
000068,华控赛格,3.32,2.79,1.6,1.56,4.64,157520,5115.6,2.72,1.5,49,46
603810,丰山集团,16.04,3.48,1.49,1.99,6.26,32945,5176.0,2.41,1.42,49,46
000811,冰轮环境,23.1,3.96,1.08,5.64,4.05,551609,125930.9,4.5,0.98,49,46
600330,天通股份,27.42,5.91,1.14,21.2,6.33,2614549,722866.2,6.86,0.94,49,46
600052,东望时代,4.35,1.16,1.38,9.29,7.91,784489,33778.5,2.74,1.14,49,46
600758,辽宁能源,4.09,2.76,0.9,6.17,5.53,814679,32898.7,1.44,0.81,48,45
000810,创维数字,13.01,3.09,1.06,2.84,4.44,314905,40640.7,2.44,0.96,48,45
600963,岳阳林纸,4.6,2.68,1.39,3.27,7.14,575022,26758.9,-3.56,1.27,48,45
000938,紫光股份,32.19,2.78,1.02,7.99,5.14,2285513,734956.4,5.72,0.93,47,44
002708,光洋股份,13.51,3.84,0.67,3.72,6.23,192446,25835.5,1.0,0.93,47,44
002256,兆新股份,4.53,1.8,0.89,8.59,4.72,1676937,75973.1,2.72,0.82,47,44
002207,准油股份,6.88,4.24,1.01,8.71,8.33,227277,15251.2,-1.04,0.98,47,44
002759,天际股份,34.4,2.96,1.01,9.68,5.39,484986,165275.9,2.35,0.98,47,44
002084,海鸥住工,3.82,3.24,1.15,2.85,5.95,183655,6867.1,2.14,1.15,47,44
002285,世联行,3.05,4.81,0.85,2.36,5.5,466188,13885.6,1.46,1.08,47,44
002802,洪汇新材,14.75,3.22,0.63,9.42,5.95,140938,20784.4,-0.46,0.77,46,43
002490,山东墨龙,10.5,2.24,1.41,18.46,7.01,1000182,102844.4,8.31,1.29,46,43
001360,南矿集团,20.74,3.13,1.37,2.84,3.93,35659,7296.0,-1.49,1.38,45,42
001330,博纳影业,8.17,4.61,0.75,11.82,6.66,1374587,111136.8,-1.4,0.79,45,42
603315,福鞍股份,18.46,0.87,0.84,10.46,6.89,335078,62004.6,0.81,0.96,45,42
600287,苏豪时尚,5.81,2.65,1.27,1.75,5.12,76381,4376.0,1.54,1.18,45,42
000755,山西高速,4.97,-3.31,4.84,1.47,5.64,215992,10654.0,-2.97,4.68,45,42
002876,三利谱,29.61,2.56,0.95,4.63,3.39,68969,20214.8,0.61,0.97,45,42
002350,北京科锐,14.23,2.74,1.01,4.42,3.83,234368,33020.7,1.31,1.0,45,42
002815,崇达技术,15.62,2.9,0.97,4.06,3.62,315497,49205.5,0.33,0.98,45,42
002687,乔治白,4.96,2.48,0.92,4.99,5.37,206254,10013.9,1.39,1.15,44,41
002329,皇氏集团,4.02,3.34,0.97,4.59,6.43,298759,11766.9,0.7,1.05,44,41
002034,旺能环境,17.59,2.33,1.15,5.3,6.98,246646,42869.1,-3.89,1.16,43,40
600593,大连圣亚,34.1,3.3,1.12,3.01,5.6,38809,12957.2,0.13,1.06,43,40
002023,海特高新,12.75,2.82,0.69,5.86,5.56,434357,56153.4,-0.56,0.74,43,40
000892,欢瑞世纪,5.31,2.91,1.13,9.06,5.23,644229,33768.6,-7.01,1.05,43,40
002174,游族网络,9.34,2.08,1.42,2.66,5.03,260605,24246.8,-1.33,1.33,42,40
600745,闻泰科技,28.66,3.06,1.11,3.71,6.87,462227,129621.6,0.12,1.0,42,40
603380,易德龙,36.9,4.89,1.04,1.79,6.57,28797,10482.7,2.88,0.97,42,40
600186,莲花控股,9.34,2.19,1.08,17.55,6.67,3139244,290816.2,4.69,0.98,42,40
001319,铭科精技,23.7,1.28,1.44,4.64,4.53,38052,8884.3,-3.71,1.34,42,40
002843,泰嘉股份,26.72,0.23,1.19,15.77,7.16,394584,105697.7,0.63,1.01,41,39
002571,德力股份,11.46,3.52,1.0,3.16,6.05,94218,10756.0,-2.34,0.88,41,39
600158,中体产业,10.67,1.91,1.03,6.28,6.59,603024,63802.9,-0.67,1.12,40,38
603601,再升科技,14.94,5.36,0.79,16.59,9.8,1894745,280274.8,-2.16,0.81,40,38
002519,银河电子,8.2,4.19,0.81,6.79,6.99,758966,62651.4,-0.56,0.87,40,38
000426,兴业银锡,42.02,3.65,0.82,3.02,4.49,535513,223409.4,-0.99,0.82,40,38
002457,青龙管业,11.0,2.8,0.84,4.85,4.95,161596,17494.5,-0.79,1.02,39,37
002547,春兴精工,3.15,2.61,0.93,6.06,9.45,669783,20661.0,-2.36,1.08,39,37
600792,云煤能源,4.33,3.34,0.99,2.73,4.77,302549,12963.0,3.69,0.91,39,37
